iter	RMSE
0	6877.427796
1	6522.11775
2	6137.569033
3	5883.616174
4	5571.907116
5	5328.553886
6	5082.167579
7	4881.439686
8	4691.830999
9	4451.703303
10	4263.297063
11	4108.556525
12	3950.626452
13	3772.335207
14	3685.978746
15	3546.562296
16	3389.622604
17	3273.141485
18	3171.827784
19	3086.29688
20	2994.399159
21	2938.375938
22	2855.314494
23	2804.780835
24	2731.890131
25	2668.37703
26	2601.758403
27	2545.727177
28	2494.581953
29	2448.606374
30	2403.055566
31	2355.941225
32	2325.685772
33	2287.747841
34	2259.022803
35	2225.021742
36	2193.427738
37	2166.174136
38	2142.336802
39	2105.684796
40	2087.868125
41	2061.595374
42	2045.575576
43	2020.974955
44	1996.73332
45	1973.517119
46	1949.808988
47	1924.873807
48	1915.085862
49	1892.057246
50	1868.450318
51	1850.286993
52	1838.100938
53	1827.193324
54	1813.05288
55	1802.169888
56	1778.867649
57	1767.096583
58	1758.147356
59	1744.402596
60	1734.829406
61	1727.296975
62	1713.712596
63	1694.35183
64	1683.521288
65	1671.245433
66	1664.732719
67	1656.188651
68	1647.12024
69	1634.408928
70	1623.399748
71	1614.247504
72	1606.428141
73	1600.448376
74	1586.605133
75	1568.710791
76	1557.79133
77	1548.195986
78	1536.491161
79	1529.60953
80	1522.190383
81	1512.575344
82	1507.909914
83	1498.366174
84	1484.533235
85	1477.684175
86	1469.949957
87	1465.826802
88	1459.677033
89	1453.89795
90	1442.257078
91	1438.492402
92	1433.312558
93	1427.790017
94	1418.954191
95	1410.026907
96	1398.825769
97	1393.542325
98	1387.572013
99	1382.738251
