iter	Passed	Remaining
0	0	83
1	1	77
2	2	90
3	4	97
4	5	96
5	5	91
6	6	90
7	7	85
8	8	83
9	9	82
10	9	80
11	10	78
12	11	75
13	11	73
14	12	72
15	13	70
16	14	68
17	14	67
18	15	65
19	16	64
20	17	64
21	23	84
22	24	82
23	25	79
24	25	77
25	26	75
26	27	73
27	27	71
28	28	69
29	29	68
30	29	66
31	30	64
32	31	63
33	32	62
34	33	61
35	34	60
36	35	59
37	35	58
38	36	57
39	37	55
40	37	54
41	38	53
42	39	52
43	39	50
44	40	49
45	41	48
46	41	47
47	42	46
48	43	44
49	43	43
50	44	42
51	45	42
52	47	41
53	48	41
54	49	40
55	49	39
56	50	38
57	51	37
58	52	36
59	52	35
60	53	34
61	54	33
62	55	32
63	55	31
64	56	30
65	57	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	24
71	61	24
72	62	23
73	63	22
74	64	21
75	64	20
76	65	19
77	66	18
78	67	17
79	67	16
80	68	16
81	69	15
82	69	14
83	70	13
84	71	12
85	71	11
86	72	10
87	73	10
88	75	9
89	76	8
90	76	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	81	2
97	82	1
98	83	0
99	84	0
